name,description,image,perfumeHouse,openNotes,heartNotes,baseNotes,detailURL
Cologne Cédrat,"Cologne Cédrat is a luminous ode to Mediterranean citrus, ideal for lovers of fresh, refined scents.",https://pnicolai.com/cdn/shop/files/CedratCologne100ml.webp?v=1744273145&width=1946,Nicolaï,"[""cédrat"", ""lemon"", ""bergamot"", ""orange""]",[],[],https://pnicolai.com/en/products/cologne-cedrat
Baïkal Leather,"Baikal Leather evokes the endless Siberian plains with a bold trail of leather and smoked wood, leaving a lasting impression of wild elegance.",https://pnicolai.com/cdn/shop/files/BAIKAL_LEATHER_30ML.webp?v=1744214017&width=1946,Nicolaï,"[""yuzu"", ""black pepper"", ""saffron""]",[],[],https://pnicolai.com/en/products/baikal-leather-intense-1
Muguet - Eau de toilette,"Muguet celebrates the freshness and delicacy of spring. Its luminous green trail reveals all the sweetness of lily of the valley, like a bouquet freshly picked in the early morning. A light and sparkling fragrance, evoking dew on white bells and the pure air of a May day.",https://pnicolai.com/cdn/shop/files/4.png?v=1746557455&width=1946,Nicolaï,"[""cut herbs"", ""rosemary"", ""bergamot""]",[],[],https://pnicolai.com/en/products/muguet-eau-de-toilette
Pavlova,"Inspired by the famous dessert, Pavlova is a joyful celebration of fruit and cream — light, elegant, and irresistibly delicious.",https://pnicolai.com/cdn/shop/files/PAVLOVA_30ML.webp?v=1746564418&width=1946,Nicolaï,"[""pineapple"", ""passion fruit"", ""rum""]",[],[],https://pnicolai.com/en/products/pavlova-1
Cédrat,"A solar and dazzling freshness of citron, enhanced by the vibrant strength of black pepper, which is anchored in the woody depth of patchouli.",https://pnicolai.com/cdn/shop/files/CEDRAT_30ML.webp?v=1744215525&width=1946,Nicolaï,"[""citron"", ""lemon"", ""lemon petitgrain""]",[],[],https://pnicolai.com/en/products/cedrat-intense
New York - EDT,"One of Patricia de Nicolaï’s earliest creations — a vibrant oriental spiced with clove and pepper, inspired by the electric rhythm of New York City.",https://pnicolai.com/cdn/shop/files/NY_30ML.webp?v=1744232562&width=1946,Nicolaï,"[""lemon"", ""artemisia"", ""bergamot"", ""thyme"", ""petitgrain""]",[],[],https://pnicolai.com/en/products/new-york
Iris Medicis,"Inspired by Tuscany’s rolling hills, Iris Médicis is the essence of noble elegance, adorned with floral and precious facets.",https://pnicolai.com/cdn/shop/files/IRIS_MEDICIS_30ML.webp?v=1744232155&width=1946,Nicolaï,"[""carrot seed"", ""galbanum""]",[],[],https://pnicolai.com/en/products/iris-medicis-intense
Cap Néroli,"Cap Néroli reveals a luminous and refreshing trail, like a sun-drenched promenade on the French Riviera.",https://pnicolai.com/cdn/shop/files/CAP_NEROLI_30ML.webp?v=1746565087&width=1946,Nicolaï,"[""petitgrain bigarade"", ""mandarin essential"", ""peppermint essential"", ""rosemary essential"", ""orange essential""]",[],[],https://pnicolai.com/en/products/cap-neroli
Discovery Set - To Customize,"The ultimate gift from Nicolaï. Our bestselling Discovery Set invites you to compose your own olfactory journey. Select three 15 ml fragrances from the entire Nicolaï collection — an exceptional way to discover the richness of our creations or to offer a refined, personal gift.An elegant introduction to the floral, woody, citrus or oriental worlds of the Maison, crafted for those who seek character, nuance and distinction.Choose from all Nicolaï fragrances: Amber Oud, Ambre Cashmere Intense, Angelys Pear, Baïkal Leather, Cap Néroli, Caravansérail, Cédrat, Eau d’Été, Eau de Yuzu, Eau mixte, Fig-Tea, Incense Oud, Kiss Me, L’Eau Chic, Musc, New York Intense, Number One, Patchouli, Poudre de Musc, Rose Royale, Sacrebleu, Vanille Tonka, Vetyver, etc.",https://pnicolai.com/cdn/shop/files/Packshots_Site_web3.png?v=1750588173&width=1946,Nicolaï,[],[],[],https://pnicolai.com/en/products/coffret-sur-mesure-3x15ml
Musc,Musc reveals a fruity pear opening and a soft floral heart that rests on an irresistible musky base — elegant and timeless.,https://pnicolai.com/cdn/shop/files/MUSC_30ML.webp?v=1746565282&width=1946,Nicolaï,"[""pear""]",[],[],https://pnicolai.com/en/products/musc-intense
Bois Bélize,"Bois Bélize pays homage to the tropical forests of Belize, where the richness of precious woods creates a fragrance both earthy and noble.",https://pnicolai.com/cdn/shop/files/BOIS_BELIZE_30ML.webp?v=1746565055&width=1946,Nicolaï,"[""ambrette seed"", ""bergamot"", ""osmanthus""]",[],[],https://pnicolai.com/en/products/bois-belize-intense
Cherry on the cake - Candle,"Cherry on the Cake celebrates summer with a juicy, sun-drenched morello cherry, perched on a bed of vanilla and amber. A joyful and delicious candle, like a ripe fruit to be enjoyed without delay.",https://pnicolai.com/cdn/shop/files/CHERRY_ON_THE_CAKE_FRONT_82a69da0-cee7-48e7-a5b9-1f33383953f7.webp?v=1749217885&width=1946,Nicolaï,"[""vanilla""]",[],[],https://pnicolai.com/en/products/cherry-on-the-cake
Oud Sublime,"Oud Sublime is a rich exploration of rare raw materials, centered on the deep, resinous complexity of Cambodian oud.",https://pnicolai.com/cdn/shop/files/OudSublime.png?v=1749228516&width=1946,Nicolaï,"[""davana"", ""musk seed"", ""artemisia""]",[],[],https://pnicolai.com/en/products/oud-sublime
Fig-Tea,"Fig-Tea evokes a sunlit afternoon beneath a fig tree, where the softness of ripe fruit blends with the delicacy of jasmine and the subtle depth of tea.",https://pnicolai.com/cdn/shop/files/FIG_TEA_30ML.webp?v=1746565176&width=1946,Nicolaï,"[""osmanthus"", ""coriander"", ""davana"", ""orange""]",[],[],https://pnicolai.com/en/products/fig-tea
Macaron Bourbon,Macaron Bourbon is an exquisite gourmand creation — a tribute to the warmth and elegance of French pâtisserie.,https://pnicolai.com/cdn/shop/files/MACARON_BOURBON_30ML.webp?v=1746564465&width=1946,Nicolaï,"[""davana"", ""rum"", ""bitter almond""]",[],[],https://pnicolai.com/en/products/macaron-bourbon-1
Ambre Cashmere,"Ambre Cashmere wraps the senses in voluptuous softness, combining the warmth of amber with the sumptuous comfort of cashmere for an exquisite caress.",https://pnicolai.com/cdn/shop/files/AMBRE_CASHMERE_30ML.webp?v=1744213919&width=1946,Nicolaï,"[""black pepper"", ""lemon"", ""mandarin""]",[],[],https://pnicolai.com/en/products/ambre-cashmere-intense
Sacrebleu,"Sacrebleu is an explosion of white flowers and spices — a bold, richly lyrical trail that evokes the refinement of a bygone era.",https://pnicolai.com/cdn/shop/files/SACREBLEU_30ML.webp?v=1746565481&width=1946,Nicolaï,"[""mandarin"", ""bergamot"", ""red fruits""]",[],[],https://pnicolai.com/en/products/sacrebleu-intense
Patchouli Sublime,"A more intense interpretation of patchouli, enriched with tonka, tobacco, and incense. Deep, textured, and long-lasting.",https://pnicolai.com/cdn/shop/files/Patchouli_Sublime.png?v=1749214958&width=1946,Nicolaï,"[""lavender"", ""orange""]",[],[],https://pnicolai.com/en/products/patchouli-sublime
Vetyver,"Un hommage vibrant au vétiver, rehaussé d’épices fraîches et adouci par un sillage boisé et fumé. Élégant, racé, indémodable.",https://pnicolai.com/cdn/shop/files/VETYVER_30ML.webp?v=1744232683&width=1946,Nicolaï,"[""de petit-grain citronnier""]",[],[],https://pnicolai.com/en/products/vetyver
Incense Oud,"Incense Oud is a call to the Orient, where the sacred intensity of incense meets the opulence of Cambodian oud.",https://pnicolai.com/cdn/shop/files/INCENSE_OUD_30ML.webp?v=1746565192&width=1946,Nicolaï,"[""of davana"", ""of ambrette seeds"", ""artemisia""]",[],[],https://pnicolai.com/en/products/incense-oud
Riviera Verbena,"Riviera Verbena delivers a bright, citrusy trail reminiscent of a sunlit stroll along the Mediterranean coastline.",https://pnicolai.com/cdn/shop/files/RIVIERA_VERBENA_30ML.webp?v=1746565426&width=1946,Nicolaï,"[""lemon"", ""cut grass"", ""spearmint"", ""thyme"", ""cassis"", ""petitgrain""]",[],[],https://pnicolai.com/en/products/riviera-verbena
Rose Pivoine,Rose Pivoine releases a fresh floral trail where rose and peony blend in a spring-like bouquet.,https://pnicolai.com/cdn/shop/files/ROSE_PIVOINE_30ML.webp?v=1746565458&width=1946,Nicolaï,"[""ambrette seed"", ""bergamot"", ""cassis"", ""raspberry""]",[],[],https://pnicolai.com/en/products/rose-pivoine
Caravansérail,"Caravansérail evokes ancient trade routes of spices and fabrics — an exotic, rich fragrance that transcends time.",https://pnicolai.com/cdn/shop/files/CARAVANSERAIL_30ML.webp?v=1746565105&width=1946,Nicolaï,"[""raspberry"", ""plum"", ""coffee""]",[],[],https://pnicolai.com/en/products/caravanserail-intense
Odalisque,"Un floral chypré lumineux, où la fraîcheur de la mandarine rencontre la délicatesse du muguet et la profondeur vibrante de la mousse de chêne.",https://pnicolai.com/cdn/shop/files/ODALISQUE_30ML.webp?v=1744232595&width=1946,Nicolaï,"[""de mandarine""]",[],[],https://pnicolai.com/en/products/odalisque
Vanilla Tonka,"Vanilla Tonka creates a tender and enveloping scent, where vanilla blends with the woody and slightly almondy warmth of tonka bean. A soft and refined atmosphere, both indulgent and comforting.",https://pnicolai.com/cdn/shop/files/VANILLE_TONKA_30ML.webp?v=1744232675&width=1946,Nicolaï,"[""lemon""]",[],[],https://pnicolai.com/en/products/vanille-tonka
Eau d'Été,"Eau d’Été reflects the joy of sun-filled days, with a light and airy composition that dances across the skin like a summer breeze.",https://pnicolai.com/cdn/shop/files/EAU_D_ETE_30ML.webp?v=1752247872&width=1946,Nicolaï,"[""grapefruit"", ""lime"", ""orange""]",[],[],https://pnicolai.com/en/products/eau-dete
Patchouli Gift Set,"Conceived as a love letter to patchouli, this set brings together three fragrant essentials: Patchouli Intense Eau de Parfum (15 ml), Hair Mist, and Hand Cream. Together, they create a complete ritual to enhance your trail from morning to night while caring for your skin and hair. The woody strength of patchouli blends with amber and oriental notes in a sensory harmony true to the Nicolaï style.",https://pnicolai.com/cdn/shop/files/fd935c85f0386e4fe6a296e162557501.webp?v=1749240473&width=1946,Nicolaï,[],[],[],https://pnicolai.com/en/products/coffret-trio-patchouli
Petit Ange,"Petit Ange (Little Angel) offers a soft and joyful trail, like a gentle caress ideal for enveloping the very young in a pure, reassuring fragrance.",https://pnicolai.com/cdn/shop/files/RemovedColognesPetitAnge.webp?v=1744273514&width=1946,Nicolaï,"[""bergamot"", ""grapefruit"", ""mandarin""]",[],[],https://pnicolai.com/en/products/petit-ange
Amber Oud,"Amber Oud is a tribute to the softness of the Orient, where the lightness of lavender meets the warmth of amber and oud wood in a captivating swirl of resins and spices.",https://pnicolai.com/cdn/shop/files/AMBER_OUD_30ML.webp?v=1744210429&width=1946,Nicolaï,"[""lavender"", ""davana"", ""artemisia""]",[],[],https://pnicolai.com/en/products/amber-oud
Eau de Yuzu,"Eau de Yuzu delivers a vibrant and energetic trail, capturing the sparkling essence of Japanese yuzu.",https://pnicolai.com/cdn/shop/files/EAU_DE_YUZU_30ML.webp?v=1752247920&width=1946,Nicolaï,"[""yuzu"", ""petitgrain citronnier"", ""cut grass"", ""grapefruit""]",[],[],https://pnicolai.com/en/products/eau-de-yuzu
Gourmand Trio Gift Set,"Inspired by the pleasures of French pâtisserie, this gift set brings together three irresistible creations: Saint-Honoré, Pavlova, and Macaron Bourbon. Each fragrance evokes a signature treat with notes of vanilla, fruits and praline. To gift or self-indulge for a joyful, gourmand olfactory escape.",https://pnicolai.com/cdn/shop/files/Packshots_Site_web3.png?v=1750588173&width=1946,Nicolaï,[],[],[],https://pnicolai.com/en/products/coffret-3-15-ml-pavlova-macaron-bourbon-saint-honore
Cuir Cuba,"Cuir Cuba takes you inside a Havana cigar box, with a distinctive, addictive scent of tobacco and leather wrapped in surprising freshness.",https://pnicolai.com/cdn/shop/files/CUIR_CUBA_30ML.webp?v=1746565154&width=1946,Nicolaï,"[""mint"", ""anise"", ""lemon""]",[],[],https://pnicolai.com/en/products/cuir-cuba-intense
Saint-Honoré,"Saint-Honoré evokes the sophistication of French pâtisserie, offering a smooth, elegant and lightly gourmand trail.",https://pnicolai.com/cdn/shop/files/SAINT_HONORE_30ML.webp?v=1746564604&width=1946,Nicolaï,"[""pepper"", ""bergamot"", ""orange blossom""]",[],[],https://pnicolai.com/en/products/saint-honore-1
Angelys Pear,Angelys Pear captures the freshness of a blooming orchard in spring. Its delicate trail of pear and white flowers evokes the clarity and lightness of sunlit days.,https://pnicolai.com/cdn/shop/files/ANGELYS_PEAR_30ML.webp?v=1746565035&width=1946,Nicolaï,"[""bergamot"", ""cut grass"", ""lemon"", ""cassis""]",[],[],https://pnicolai.com/en/products/angelys-pear
Néroli,"Une brassée de fleurs blanches éclatantes, où le néroli solaire s’adoucit au contact d’un accord miellé de cire d’abeille.",https://pnicolai.com/cdn/shop/files/NEROLI_30ML.webp?v=1746565302&width=1946,Nicolaï,"[""de n\u00e9roliessence"", ""d\u2019estragon"", ""d\u2019orange"", ""de mandarine""]",[],[],https://pnicolai.com/en/products/neroli-intense
Eau Mixte,Eau Mixte draws on the timeless codes of citrus and spice to compose a signature of cultivated freshness and quiet sophistication.,https://pnicolai.com/cdn/shop/files/EAU_MIXTE_30ML.webp?v=1752247858&width=1946,Nicolaï,"[""lemon"", ""bergamot"", ""thyme"", ""orange"", ""mint""]",[],[],https://pnicolai.com/en/products/eau-mixte
Patchouli,"Patchouli magnifies the iconic woody note with floral contrasts and warm, spicy undertones. Bold yet harmonious.",https://pnicolai.com/cdn/shop/files/PATCHOULI_30ML.webp?v=1746565389&width=1946,Nicolaï,"[""lavender"", ""orange""]",[],[],https://pnicolai.com/en/products/patchouli-intense
Number One,A generous bouquet of white flowers resting on a creamy base of sandalwood and animalic nuances — Patricia de Nicolaï’s very first creation.,https://pnicolai.com/cdn/shop/files/NUMBER_ONE_30ML.webp?v=1746565362&width=1946,Nicolaï,"[""galbanum"", ""cassie"", ""bergamot""]",[],[],https://pnicolai.com/en/products/number-one-intense
Fig Tea - Shower Gel,"This delicately scented shower gel blends the milky sweetness of fig with the subtlety of refined tea. A fine, generous lather that elegantly cleanses the skin and leaves a discreet trail of freshness and sensuality.",https://pnicolai.com/cdn/shop/files/WhatsApp_Image_2025-06-10_at_18.14.13.jpg?v=1749572080&width=1946,Nicolaï,"[""osmanthus""]",[],[],https://pnicolai.com/en/products/fig-tea-gel-douche
Samples Set - Discovery,"This discovery box brings together the 12 best-selling fragrances from Maison Nicolaï in 1.8 ml format.Fragrances: Amber Cashmere, Angelys Pear, Baikal Leather, Belize Wood, Yuzu Water, Fig-Tea, Incense Oud, New York Intense, Number One Intense, Patchouli Intense, Musk Powder, Riviera Verbena.An ideal way to delve into our expertise, take ownership of our creations, and find the one that's perfect for you. It comes with an explanatory brochure to guide your exploration.",https://pnicolai.com/cdn/shop/files/59b1b2e3ce7c5f1bc7b10cceff75e164.webp?v=1749240480&width=1946,Nicolaï,[],[],[],https://pnicolai.com/en/products/coffret-12-x-echantillons-1-8-ml
Cologne Sologne,"Sologne captures the spirit of French woodland estates, where fresh air and floral elegance meet.",https://pnicolai.com/cdn/shop/files/RemovedColognes100ml.webp?v=1744273422&width=1946,Nicolaï,"[""bergamot"", ""orange"", ""lemon""]",[],[],https://pnicolai.com/en/products/cologne-sologne
New York - EDP,"The intensified version of Patricia de Nicolaï’s iconic creation — vibrant and structured, with enhanced depth and diffusion.",https://pnicolai.com/cdn/shop/files/NY_INTENSE_30ML.webp?v=1746565336&width=1946,Nicolaï,"[""lemon"", ""artemisia"", ""bergamot"", ""thyme"", ""petitgrain""]",[],[],https://pnicolai.com/en/products/new-york-intense
Poudre de Musc,Poudre de Musc is like a velvet caress on the skin — a second-skin scent that’s both comforting and refined.,https://pnicolai.com/cdn/shop/files/POUDRE_DE_MUSC_30ML.webp?v=1746474008&width=1946,Nicolaï,"[""petitgrain bigarade"", ""raspberry"", ""mandarin""]",[],[],https://pnicolai.com/en/products/poudre-de-musc-intense
Eau Chic,"Eau Chic embodies the timeless heritage of French elegance with a fresh, radiant signature.",https://pnicolai.com/cdn/shop/files/EAU_CHIC_30ML.webp?v=1752247839&width=1946,Nicolaï,"[""bergamot"", ""mint"", ""lemon""]",[],[],https://pnicolai.com/en/products/eau-chic
Rose Oud,"Rose Oud blends the opulence of rose with the power of oud, offering a rich, hypnotic and refined signature.",https://pnicolai.com/cdn/shop/files/ROSE_OUD_30ML.webp?v=1746565442&width=1946,Nicolaï,"[""coriander"", ""davana"", ""osmanthus""]",[],[],https://pnicolai.com/en/products/rose-oud
Cologne Haute Provence,"Cologne Haute Provence captures the essence of lavender under the sun — soothing, pure, and deeply peaceful.",https://pnicolai.com/cdn/shop/files/RemovedColognesFlacon.webp?v=1744273237&width=1946,Nicolaï,"[""bergamot"", ""petitgrain""]",[],[],https://pnicolai.com/en/products/cologne-haute-provence
Kiss Me,"Kiss Me releases a tender, addictive trail of almond and vanilla — a fragrance that recalls the gentle sweetness of pastel-hued confections.",https://pnicolai.com/cdn/shop/files/KISS_ME_30ML.webp?v=1746565225&width=1946,Nicolaï,"[""anise"", ""bitter almond"", ""lemon""]",[],[],https://pnicolai.com/en/products/kiss-me-intense
Week-end in Normandy,"Week-end in Normandy captures the peaceful countryside of Normandy, with green floral notes and soft natural comfort.",https://pnicolai.com/cdn/shop/files/WE_IN_NORMANDY_30ML.webp?v=1746565499&width=1946,Nicolaï,"[""galbanum"", ""lemon"", ""tarragon"", ""bergamot"", ""basil"", ""mint""]",[],[],https://pnicolai.com/en/products/week-end-in-normandy
Rose Royale,"Une rose majestueuse sublimée par la fraîcheur fruitée du cassis et la chaleur miellée de l’immortelle. Moderne, lumineuse, intensément élégante.",https://pnicolai.com/cdn/shop/files/ROSE_ROYALE_30ML.webp?v=1744232653&width=1946,Nicolaï,"[""absolue bourgeons de cassis""]",[],[],https://pnicolai.com/en/products/rose-royale
