name,description,image,perfumeHouse,openNotes,heartNotes,baseNotes,detailURL
Silver Narcissus Perfume Oil,"Introducing Silver Narcissus Perfume Oil, a stunning fragrance that combines the luxurious Possets' Silver Base with the iconic Narcissus flower, evoking the essence of a warm and vibrant spring morning. The heady and intoxicating aroma of the Narcissus flower is captured in this exquisite perfume oil, creating a scent that is both sweet and floral, yet slightly spicy and green. The carefully balanced blend of notes makes for a fragrance that is both complex and captivating!",https://possets.com/wp-content/uploads/2023/05/Silver-Narcissus-Indvidual-600x600.png,Possets,"[""make for a fragrance that is both complex"", ""captivating!""]",[],[],https://possets.com/product/silver-narcissus-perfume-oil/
Van Gogh Desecrated For Charity Perfume Oil,"Oh, the horror of earnest ladies handling valuable artwork without knowing what they are doing! The destruction which has been wreaked is enormous! But they did smell good during the event! So good that anyone could forgive their sins against the arts. Honey, and plenty of it, on top of vanilla (in the gooiest of all manifestations, the Mexican persuasion) and a spot of an amazing amazing sugar musk which is an exceptionally powerful elixir! Oh, the beauty of it all, this stuff is so pretty that you could forgive a multitude of sins committed by anyone wearing it. Foody, sugary.",https://possets.com/wp-content/uploads/2015/04/Desecrated-600x600.jpg,Possets,"[""foody"", ""sugary""]",[],[],https://possets.com/product/van-gogh-desecrated-for-charity-perfume-oil/
Sea of Ice (Friedrich) Perfume Oil,"A famous painting and eerie, this shows an ice pack that has crushed itself with shards jutting upward in a knifelike tangle. Buried deep in the recesses of the chaos is a doomed ship tipped over with no speck of human life nearby. In the grip of the heat of summer, it is prudent to produce an unabashedly chilling product. So, Possets gives you Sea of Ice, a perfume that combines the tang of marine life with the quietude of things cooling. Another aquatic base is frozen into a sculpture by way of mint, lime, birch, and green tea ice cubes. Put this on and be refreshed. It's like a sharp spray of 31-degree water.",https://possets.com/wp-content/uploads/2015/06/sea-of-ice-600x600.jpg,Possets,"[""another aquatic base is frozen into a sculpture by way of mint"", ""lime"", ""birch"", ""green tea ice cube""]",[],[],https://possets.com/product/sea-of-ice-fredrich-perfume-oil/
Silver Chypre Perfume Oil,"Just the thing to remind you of dark and chilly days, beautiful melancholy and the excitement of a bit of unease. Silver Chypre takes the beauty and sweetness of the silver accord and blends it seamlessly with the bitter and totally grown up chypre made by Possets and the result is a perfectly balanced perfume which is gourmandy but that compliments the dry and fabulous green and leathery chypre. Astoundingly good stuff. The name ""chypre"" means the Island of Cyprus where the original formula was invented, and the blend was forever after named after the place of its origin. *Oil is bottled in cobalt blue glass bottles, not the silver bottle pictured.",https://possets.com/wp-content/uploads/2011/09/silverchypre-1-600x604.jpg,Possets,"[""*oil is bottled in cobalt blue glass bottle"", ""not the silver bottle pictured""]",[],[],https://possets.com/product/silver-chypre-perfume-oil/
DNA Perfume Oil,"Even the DNA strand follows the Sacred Geometric curve as it rotates around its four elements in endless combinations! This is an unabashed foody with lashings of toffee, butterscotch, cream, butter, and a tidal wave of vanilla. If you like the foodies, this one is a rare beauty. There is also a very, very, very small tot of coffee plopped in for a bit of depth to it all, and that makes it ultra special. Wear it when you are in a hedonistic mood.",https://possets.com/wp-content/uploads/2015/09/Posset-P-white-bckgrnd-1.png,Possets,"[""if you like the foody"", ""this one is a rare beauty""]",[],[],https://possets.com/product/dna-perfume-oil/
Hubris (The Monk’s Tale) Perfume Oil,"The Monk tells a story of the tragedy which awaits great men at the end of their lives. It is a tale of pride for the most part. The bite and sniff of ginger (the best quality) combine with the cold of flitting winter and a kiss of oncoming spring. There are so many things that could go together here only if there was the will and money to make it happen. Bright and sparkling but lingering and tempting. Type: spice, clean, citrus",https://possets.com/wp-content/uploads/2012/03/products-hubris-e1612922843255-transformed-600x600.jpg,Possets,"[""type: spice"", ""clean"", ""citrus""]",[],[],https://possets.com/product/hubris-the-monk-s-tale-perfume-oil/
The Floral Chaplet Perfume Oil,"Jasmine and Blue Lilac are tied together with a very lovely white musk which has a slightly animalic edge that fully compliments the jasmine and keeps the lilac from becoming too ""bossy."" A chaplet is a crown-like object which can be made out of blossoms.",https://possets.com/wp-content/uploads/2011/04/Floral_Chaplet-transformed-600x600.jpeg,Possets,"[""very lovely white musk which has a slightly animalic edge that fully compliment the jasmine"", ""keep the lilac from becoming too \""bossy""]",[],[],https://possets.com/product/the-floral-chaplet-perfume-oil/
Robert Burns-My Love Is Like A Red Red Rose Perfume Oil,"My love is like a red red rose That's newly sprung in June;... ---Robert Burns My Love Is Like A Red Red Rose Few are as outright romantic as Robert Burns in that Highland way. One of the most appealing aspects of his poetry is how fearlessly he veers into an almost limitless passion or backs off to a most tender observation about animals and humanity. In this poem, Burns is lost entirely to his lady love. There should always be a great rose perfume each summer. Art follows Nature. A very comforting, sweet, and almost sugared rose--not sharp at al. Floral.",https://possets.com/wp-content/uploads/2013/07/RobertBurnsMyLoveIsLikeARedRedRose-600x600.jpg,Possets,"[""very comforting"", ""sweet"", ""almost sugared rose--not sharp at al""]",[],[],https://possets.com/product/robert-burns-my-love-is-like-a-red-red-rose-perfume-oil/
Animal Rampage! Perfume Oil,"You must beware of the animal rampage! Here you find all sorts of strange and wonderful animalics that have the audacity to play with your mind over what is sexy and what is merely background. Blue musk plays a savage dance with some very sweet jasmine which veers into the ""dirty"" category, then comes back massively sensual. A hint of anise recalls a seed mixture, and a bed of black musk keeps it all together. It's unusual but it's quite hauntingly classic at the same time.",https://possets.com/wp-content/uploads/2015/04/Animal-Rampage.jpg,Possets,"[""hint of anise recall a seed mixture"", ""bed of black musk keep it all together""]",[],[],https://possets.com/product/animal-rampage-perfume-oil/
The Countess Perfume Oil,"She had a twinkle in her eye and everyone called her a golddigger behind her back. She possessed a great and puckish sense of humor and a fabulous sense of style. At this time of year, she would have favored a ""summer chypre"" made cooling by the addition of pink Indian River grapefruit zest and something called ""igneous musk"" because it is a stone-like musk which is quite unusual and very arousing. Musky, chypre, fruity, fabulous.",https://possets.com/wp-content/uploads/2015/04/The-Countess-600x600.jpg,Possets,"[""musky"", ""chypre"", ""fruity"", ""fabulous""]",[],[],https://possets.com/product/the-countess-perfume-oil/
