id,name,description,image,website,country,founded,type,email,phone,address,createdAt,updatedAt
cmdbbd3742eebbcb67aa707,Rozhishka,"Rozhishka is an emerging perfume company known for its unique approach to fragrance creation by blending traditional perfumery techniques with modern aesthetics. Founded by a group of passionate artisans, the company emphasizes high-quality, natural ingredients and aims to capture the essence of varied cultures through its scent portfolio. Their specialty lies in creating bespoke fragrances that resonate personally with customers, offering a personalized experience in every bottle.",https://images.unsplash.com/photo-1541643600914-78b084683601?w=400&h=300&fit=crop,www.rozhishka.com,Russia,2021,indie,info@rozhishka.com,,,2025-07-18T12:32:10.942225,2025-08-29T12:17:42.649803
cmdccf4a378d99c6cb98525,Rua29,"Rua29 is a niche perfume company that focuses on creating unique and artisanal fragrances. Established with a dedication to inspiring emotion through scent, Rua29 emphasizes the use of high-quality ingredients and innovative techniques in their perfume-making process. The brand is known for its evocative storytelling behind each fragrance, drawing inspiration from various cultures and experiences, aiming to engage the customer in a sensory journey.",https://images.unsplash.com/photo-1587017539504-67cfbddac569?w=400&h=300&fit=crop,,,,niche,,,,2025-07-18T12:32:10.942225,2025-08-29T12:17:48.218706
cmdd330dc636c23b5622b00,Rubeus,"Rubeus is a niche perfume company known for its luxurious and artisanal scents. Founded by a team of fragrance enthusiasts, the brand focuses on creating unique and high-quality fragrances that capture the essence of individuality and elegance. The company emphasizes craftsmanship and the use of premium ingredients, aiming to provide not just a scent, but an emotional experience. Each fragrance tells a story and reflects a deep understanding of olfactory art, appealing to connoisseurs and fragrance lovers around the world.",https://www.rubeus.com/img/logo2.svg,https://www.rubeus.com,Italy,2015,niche,,,,2025-07-18T12:32:10.942225,2025-08-29T12:17:54.575369
cmdb994c824fe7a3d9a515f,Rubini,,https://images.unsplash.com/photo-1582735689369-4fe89db7114c?w=400&h=300&fit=crop,,,,niche,,,,2025-07-18T12:32:10.942225,2025-08-29T12:18:00.917404
cmda0c8137c2700cb6280b8,Rubino,"Rubino is a distinguished fragrance house known for blending traditional craftsmanship with modern aesthetics. Established with the intent to create unique, high-quality perfumes, Rubino has garnered attention for its artistic approach to scent creation. Each fragrance is inspired by stories and emotions, making them not just scents but olfactory experiences. The brand emphasizes sustainability and uses ethically sourced ingredients to craft its fragrances, catering to a growing market of conscious consumers seeking authenticity in their perfumes.",https://images.unsplash.com/photo-1582735689369-4fe89db7114c?w=400&h=300&fit=crop,www.rubinoparfums.com,Italy,2015,niche,contact@rubinoparfums.com,,"Via dei Profumi, 12, Milan, Italy",2025-07-18T12:32:10.942225,2025-08-29T12:18:07.042443
cmdd671cb87fa44c47a51a8,Ruby & Millie,"Ruby & Millie is a cosmetics and fragrance brand known for its stylish yet accessible beauty products. Founded by celebrities Ruby and Millie, the brand successfully merges high-quality formulations with innovative designs. It was known for its fun and youthful ethos, specializing in makeup and perfumes that cater to a diverse audience while promoting self-expression and creativity.",https://images.unsplash.com/photo-1582735689369-4fe89db7114c?w=400&h=300&fit=crop,,United Kingdom,2002,indie,,,,2025-07-18T12:32:10.942225,2025-08-29T12:18:13.655856
cmd55798d959c6cb363d300,Ruddy Water,"Ruddy Water is a niche perfume company known for its artisanal approach to scent creation. Founded by a team of fragrance enthusiasts, the brand focuses on handcrafting unique and evocative fragrances that encapsulate personal stories and experiences. Their commitment to quality ingredients and sustainable practices is reflected in their small batch production, ensuring that each release is distinctive and exclusive.",https://static.HugeDomains.com/images/hdv3-img/hd-header-logo-v3.svg,https://www.ruddywater.com,United States,2016,niche,contact@ruddywater.com,,,2025-07-18T12:32:10.942225,2025-08-29T12:18:22.325720
cmdc156c7b348a706877027,Rude,"Rude is a niche fragrance company known for its unique and edgy scents that appeal to a younger audience. Founded with the mission to challenge traditional notions of perfumery, Rude offers a variety of bold and vibrant fragrances that are designed to evoke individual expression and creativity. The brand emphasizes inclusivity and personal style, allowing customers to explore their identity through scent.",https://www.rude.com/JEXO-blue-white.png,https://www.rude.com,Canada,2013,niche,,,,2025-07-18T12:32:10.942225,2025-08-29T12:18:32.945031
cmdc9282ff27a77b4a36105,Rudross,"Rudross is a niche perfume company that specializes in creating handcrafted, artisanal fragrances. Founded by the perfumer H. Rudross, the brand focuses on using high-quality, sustainable ingredients to craft unique and evocative scents. By fusing traditional perfumery techniques with modern art, Rudross aims to tell a story through each fragrance, appealing to connoisseurs of fine perfumes seeking originality and luxury.",https://rudross.com/images/sys/rudrowsnew_1.svg,https://rudross.com,United States,2015,niche,contact@rudross.com,,,2025-07-18T12:32:10.942225,2025-08-29T12:18:39.998257
cmd9cd1783107a36da55efd,Rue 37,"Rue 37 is an artisanal perfume company specializing in creating high-quality, unique fragrance compositions. Founded with a passion for fragrance exploration, Rue 37 prides itself on blending traditional techniques with innovative concepts. Their offerings often center around sustainable sourcing and the celebration of diverse aromatic notes inspired by various cultural elements.",https://images.unsplash.com/photo-1541643600914-78b084683601?w=400&h=300&fit=crop,https://www.rue37.com,United States,2014,niche,contact@rue37.com,,,2025-07-18T12:32:10.942225,2025-08-29T12:18:45.177579
cmd984ad273e661e8b632ef,Rue Broca,"Rue Broca is a niche perfumery brand based in Paris, France, that specializes in creating artisanal, handcrafted fragrances. Founded by a group of passionate perfumers, the company draws inspiration from the artistic essence and cultural history of Paris, delivering unique scent compositions that reflect the city's charm. Rue Broca focuses on the use of high-quality ingredients and traditional perfumery techniques, offering an exclusive and intimate olfactory experience to its clientele.",https://images.unsplash.com/photo-1582735689369-4fe89db7114c?w=400&h=300&fit=crop,https://ruebroca.com,France,2016,niche,contact@ruebroca.com,,"123 Rue Broca, 75005 Paris, France",2025-07-18T12:32:10.942225,2025-08-29T12:18:54.077819
cmd53c3557efd2d86acfa9e,Rue21,"Rue21 is a specialty retailer that focuses on providing fashionable apparel, accessories, and footwear for young men and women. Founded in 2003, the brand has built a strong presence by offering an array of trendy clothing and scented products, including perfumes and body sprays. Rue21 emphasizes affordability and contemporary styles, catering primarily to a younger demographic that values self-expression through fashion. The company's perfume line is designed to complement its fashion offerings, allowing customers to indulge in personal fragrance choices that resonate with current trends.",https://rue21.com/cdn/shop/files/Rue_21_logo_Rue21_210x.webp?v=1726235962,https://www.rue21.com,United States,2003,drugstore,,,,2025-07-18T12:32:10.942225,2025-08-29T12:19:01.631698
cmd003c883bb9a0f4457e2a,Ruehl No. 925,"Ruehl No. 925 was a lifestyle brand that originated from the Abercrombie & Fitch company, focusing primarily on apparel, accessories, and fragrances. Named after the street address of their headquarters in New York City, Ruehl No. 925 was designed to evoke the spirit of New York and aimed at the young adult demographic. The brand's fragrances were characterized by their sophisticated yet approachable scents, capturing both the essence of urban life and individual expression. The company has a reputation for producing fragrances that complement their apparel, adding an olfactory dimension to the overall lifestyle experience. Ruehl No. 925 ceased operations in 2010, but its fragrances are still remembered by fans of the brand.",https://images.unsplash.com/photo-1556909114-f6e7ad7d3136?w=400&h=300&fit=crop,,United States,2004,indie,,,"of their headquarters in New York City, Ruehl No. 925 was designed to evoke the spirit of New York and aimed at the young adult demographic. The brand's fragrances were characterized by their sophisticated yet approachable scents, capturing both the essence of urban life and individual expression. The company has a reputation for producing fragrances that complement their apparel, adding an olfactory dimension to the overall lifestyle experience. Ruehl No. 925 ceased operations in 2010, but its fragrances are still remembered by fans of the brand.",2025-07-18T12:32:10.942225,2025-08-29T12:19:08.496858
cmd89cccd7c9db2bc3398c5,Rufus Hound,"Rufus Hound is a British comedian and actor who ventured into the perfume industry, launching his own fragrance line. The brand is known for its creative and whimsical approach to scent, incorporating Hound's distinct personality and humor into the fragrance experience. While Rufus Hound may not operate as a traditional perfume company, his offerings reflect his artistic influence and aim to connect with fans through unique aromatic experiences.",https://images.unsplash.com/photo-15907369626-6c63ac16f3df?w=400&h=300&fit=crop,,United Kingdom,2021,indie,,,,2025-07-18T12:32:10.942225,2025-08-29T12:19:14.320330
cmdf378b39a65df71baedae,Rugby Club Toulonnais,"Rugby Club Toulonnais is primarily known as a professional rugby union team based in Toulon, France. However, it has expanded its brand to include a range of lifestyle products, including perfumes. The perfume line reflects the strength and spirit of the rugby club, channeling athleticism and the passion of its fan base into the fragrance offerings. The brand emphasizes quality and a connection to rugby culture, appealing to both sports enthusiasts and fragrance aficionados.",https://rctoulon.com/wp-content/uploads/landing/logo_rctoulon.png,https://www.rctoulon.com,France,1908,niche,,,"41 Rue Jacques Ibert, 83100 Toulon, France",2025-07-18T12:32:10.942225,2025-08-29T12:19:22.476238
cmd33fb8f6ee67bdfcd1370,Ruhr-Universität Bochum,"Ruhr-Universität Bochum is a public research university located in Bochum, Germany. While primarily an educational institution, it has a strong focus on various disciplines, including chemistry and materials science. The university is known for its innovative research in the field of perfumery and fragrance chemistry, contributing to the development of new scent formulations and advancements in the perfume industry.",https://www.ruhr-uni-bochum.de/themes/custom/rub/logo.svg,https://www.ruhr-uni-bochum.de/,Germany,1962,indie,,,"Universitätsstr. 150, 44801 Bochum, Germany",2025-07-18T12:32:10.942225,2025-08-29T12:19:29.313807
cmde505b513b711873b5e90,RUIK,"RUIK is an innovative perfume brand that specializes in creating unique and artisanal fragrances. Founded with the mission to blend traditional perfume-making techniques with modern sensibilities, RUIK offers a diverse range of scent profiles that cater to various preferences and lifestyles. The company prides itself on using high-quality ingredients sourced from around the world, and emphasizes sustainability and eco-friendliness in its production processes. RUIK's story is rooted in a passion for olfactory art, and they continuously strive to push the boundaries of fragrance creation by collaborating with renowned perfumers.",https://images.unsplash.com/photo-1587017539504-67cfbddac569?w=400&h=300&fit=crop,www.ruikfragrances.com,United States,2021,niche,contact@ruikfragrances.com,,,2025-07-18T12:32:10.942225,2025-08-29T12:19:35.696400
