name,description,image,perfumeHouse,openNotes,heartNotes,baseNotes,product_url
Smile,SMILE is our addictive happiness fragrance. SMILE is a new fragrance inspired by the pursuit of joy and born out of a unique family connection.,https://us.akrofragrances.com/cdn/shop/files/AK-OVERLAY-TEXTURE-WEBSITE-SMILE_1200x.jpg?v=1718874407,Akro,"[""raspberry"", ""bergamot"", ""sage"", ""pine""]",[],[],https://us.akrofragrances.com/collections/fragrances/products/akro-smile
Bake,"Bake is our addictive cupcake fragrance. Everyone has their own favourite sweet treat, and for Akro, it's the small, but perfectly delicious lemon cupcake—an item we just can’t resist any time we walk past a good bakery.",https://us.akrofragrances.com/cdn/shop/files/AK-OVERLAY-TEXTURE-WEBSITE-BAKE_1200x.jpg?v=1708041171,Akro,"[""gourmand"", ""vanilla"", ""lemon""]",[],[],https://us.akrofragrances.com/products/akro-bake
Breathe,"BREATHE is our addictive nature fragrance. It’s breathtaking landscapes as far as the eye can see, a world of silence, where nature is the only language.",https://us.akrofragrances.com/cdn/shop/files/AK-OVERLAY-TEXTURE-WEBSITE-BREATHE_1200x.jpg?v=1743492268,Akro,"[""fresh""]",[],[],https://us.akrofragrances.com/products/akro-breathe
Glow,"GLOW is our addictive party fragrance. One of the reasons we go to parties is the chance to be noticed, admired, or possibly seduced.",https://us.akrofragrances.com/cdn/shop/files/AK-OVERLAY-TEXTURE-WEBSITE-GLOW2_1200x.jpg?v=1725532083,Akro,"[""floral"", ""tobacco"", ""coffee"", ""chocolate"", ""gourmand"", ""woody"", ""pine"", ""wood"", ""amber""]",[],[],https://us.akrofragrances.com/collections/fragrances/products/akro-glow
Ink,"Ink is our addictive tattoo fragrance. Everyone remembers their first tattoo: the fear, the sensation, the adrenaline rush, and the futile attempts to hide it from their parents.",https://us.akrofragrances.com/cdn/shop/files/AK-OVERLAY-TEXTURE-WEBSITE-INK_1200x.jpg?v=1708041342,Akro,"[""jasmine"", ""vetiver""]",[],[],https://us.akrofragrances.com/collections/fragrances/products/ink
East,"East is our addictive travel fragrance. Of all the five senses, none has the power to transport us quite like scent.",https://us.akrofragrances.com/cdn/shop/files/AK-OVERLAY-TEXTURE-WEBSITE-EAST_1200x.jpg?v=1708036950,Akro,"[""oud""]",[],[],https://us.akrofragrances.com/collections/fragrances/products/east
Dark,Dark is our addictive chocolate fragrance. Dark chocolate is something you only really get into as you get older.,https://us.akrofragrances.com/cdn/shop/files/AK-OVERLAY-TEXTURE-WEBSITE-DARK_1200x.jpg?v=1708041212,Akro,"[""chocolate"", ""coffee""]",[],[],https://us.akrofragrances.com/products/dark
Gift Card,"Send a unique AKRO gift.  The new virtual gift card will be immediately emailed to the recipient’s or to yourself, to print or forward later.",https://us.akrofragrances.com/cdn/shop/products/giftcard_1200x.jpg?v=1648741517,Akro,"[""floral"", ""tobacco"", ""coffee"", ""chocolate"", ""gourmand"", ""woody"", ""pine"", ""wood"", ""amber""]",[],[],https://us.akrofragrances.com/products/akro-gift-card
Infuse,"INFUSE is our addictive tea fragrance. In Asia, the ancient drink of tea must be prepared with the utmost attention to detail, sometimes with an accompanying ceremony.",https://us.akrofragrances.com/cdn/shop/files/AK-TEXTURE-WEBSITE-INFUSE_1200x.jpg?v=1711732833,Akro,"[""floral"", ""tobacco"", ""coffee"", ""chocolate"", ""gourmand"", ""woody"", ""pine"", ""wood"", ""amber""]",[],[],https://us.akrofragrances.com/products/infuse100
Rise,RISE is our addictive summer fragrance. It’s a scent informed by those unforgettable summer nights drinking Pina Coladas on faraway beaches or exploring big cities in search of new experiences and sensations.,https://us.akrofragrances.com/cdn/shop/files/AK-OVERLAY-TEXTURE-WEBSITE-RISE_1200x.jpg?v=1708041547,Akro,"[""coconut"", ""fresh"", ""sandalwood"", ""apple"", ""pine"", ""wood""]",[],[],https://us.akrofragrances.com/collections/fragrances/products/rise
