name,description,image,perfumeHouse,openNotes,heartNotes,baseNotes,detailURL
July Gem Journey Set,"So excited for our next class in July—we’re going to Laurasia! Where is Laurasia, you ask? Laurasia was an ancient supercontinent, a land of mystery and primordial power that once encompassed North America, Europe, and Asia in a single, unified continent.",https://www.sagegoddess.com/wp-content/uploads/2025/06/IMG_20250630_094646331_HDR2-720x720.jpg.webp,Sage Goddess,[],[],[],https://www.sagegoddess.com/product/class-tools-july-gem-journey-set/
Nectar Perfume & Intention Candle Set,"This offering honors the hummingbird animal spirit — a symbol of joy, wonder, and lightness of being. This tiny yet mighty bird brings a message of fierce independence and endurance.",https://www.sagegoddess.com/wp-content/uploads/2023/06/Nectar_perfume_and_intention_candle_set_1of4-720x720.jpg.webp,Sage Goddess,[],[],[],https://www.sagegoddess.com/product/nectar-perfume-and-intention-candle-set/
Mother Perfume & Intention Candle Duo,Our hope is that this scent will bring you closer to your mother or other maternal figures in your life. Work with this duo to celebrate the matriarchs who made you who you are and embody their strong yet soothing feminine energy.,https://www.sagegoddess.com/wp-content/uploads/2023/05/Mother_Perfume_and_Intention_Candle_Duo_1of1-720x720.jpg.webp,Sage Goddess,"[""our hope is that this scent will bring you closer to your mother or other maternal figures in your life. work with this duo to celebrate the matriarchs who made you who you are"", ""embody their strong yet soothing feminine energy.""]",[],[],https://www.sagegoddess.com/product/mother-perfume-and-intention-candle-duo/
Amatus Perfume,"Whether you wish to manifest love in your romantic relationships, friendships, or even with yourself, this Medium Tumbled Rose Quartz is your offering. Rose quartz is the Mother of all love stones and one of my favorites for heart healing and all kinds of love....",https://www.sagegoddess.com/wp-content/uploads/2019/03/Amatus_Perfume_1of1_3_22-720x720.jpg.webp,Sage Goddess,[],[],[],https://www.sagegoddess.com/product/amatus-perfume/
Frida Perfume,<p>Ametrine embodies the boundary where amethyst and citrine meet — a perfect harmony of inspiration and confident action. It combines amethyst’s peaceful and balancing vibrations with citrine’s energies of empowerment and abundance.</p>,https://www.sagegoddess.com/wp-content/uploads/2021/09/Frida_perfume_1of1_9_22-720x720.jpg.webp,Sage Goddess,"[""tuberose"", ""jasmine""]",[],[],https://www.sagegoddess.com/product/crystal-perfumes-frida-perfume/
Selva Perfume Set with Porcelain Jasper Sphere,"The perfume and tea lights in this set were both handcrafted using a replica of the blend made for me during my trip to the Yucatan Peninsula. We’ve also included a porcelain jasper sphere, which comes from the Yucatan region of Mexico — the place that inspired Selva.",https://www.sagegoddess.com/wp-content/uploads/2024/02/selva-kit-1of4-720x720.jpg.webp,Sage Goddess,"[""bergamot"", ""tuberose""]",[],[],https://www.sagegoddess.com/product/selva-perfume-set-with-porcelain-jasper-sphere/
Essence of Africa Perfume,"Journey to Africa and experience divine illumination, empowerment, and rejuvenation with our Essence of Africa Perfume.  It’s a restorative blend of tea tree, Egyptian geranium, acacia absolute, watermelon, birch tar, chamomile, cape chamomile, and frankincense.",https://www.sagegoddess.com/wp-content/uploads/2022/04/Essence_of_Africa_Perfume_1of1_4_20-720x720.jpg.webp,Sage Goddess,[],[],[],https://www.sagegoddess.com/product/crystal-perfumes-essence-of-africa-perfume/
Zeus Perfume,"Honor your power and wisdom with our Zeus Perfume. Inspired by the king of the gods, we handcrafted this blend right here at Sage Goddess Headquarters. It transforms you as you wear it, encouraging you to take action.",https://www.sagegoddess.com/wp-content/uploads/2025/01/Zeus-Perfume-720x720.jpeg.webp,Sage Goddess,"[""rosewood""]",[],[],https://www.sagegoddess.com/product/crystal-perfumes-zeus-perfume/
Limited Edition Quintessence Perfume,"In ancient alchemy, quintessence was the essence of all matter, all creation, and all manifestation. Quintessence is the substance of the stars and our souls. Incorporate this offering into your daily self-care rituals to transmute low vibrations and raise your level of consciousness.",https://www.sagegoddess.com/wp-content/uploads/2021/03/Quintessence_Perfume_1of1_3_14-720x720.jpg.webp,Sage Goddess,"[""bulgarian rose"", ""white lavender""]",[],[],https://www.sagegoddess.com/product/quintessence-perfume/
Take My Breath Away Perfume,"This handcrafted blend lives up to its name with a clean scent like a breath of fresh air. Additionally, it’s packaged in a convenient amber-colored dropper bottle for all your aromatherapy needs.",https://www.sagegoddess.com/wp-content/uploads/2024/05/Gemini-New-Moon-Ceremony-Set-5of7-720x720.jpg.webp,Sage Goddess,"[""embrace refreshment"", ""rejuvenation!""]",[],[],https://www.sagegoddess.com/product/crystal-perfumes-take-my-breath-away-perfume/
Christmas Peace Perfume,"Anointing yourself this holiday season will help you stay grounded, peaceful, and calm during one of the most magical yet stressful times for so many. Our Christmas Peace Perfume was handcrafted here at SG with notes of: Fir, lavender, and peppermint.",https://www.sagegoddess.com/wp-content/uploads/2021/11/Christmas_peace_perfume_1of1_11_7-720x720.jpg.webp,Sage Goddess,"[""lavender""]",[],[],https://www.sagegoddess.com/product/christmas-peace-perfume/
Christmas Tree Perfume Trio,"If you love the smell of the forest and want to tap into its magic, this set is for you! This set includes Spruce Perfume for calm, Fir Perfume for clarity, and Pine Perfume for wellness.",https://www.sagegoddess.com/wp-content/uploads/2022/11/Christmas_Tree_Perfume_Trio_1of1-720x720.jpg.webp,Sage Goddess,[],[],[],https://www.sagegoddess.com/product/christmas-tree-scent-trio/
Vesica Piscis Perfume,"We designed this blend to transport your consciousness to that cosmic womb, where complementary forces converge to create something transformative. Handcrafted here at SG Headquarters, this subtly sweet potion contains notes to support you as you birth your own inspired creations into the world.",https://www.sagegoddess.com/wp-content/uploads/2024/03/vesica-pisces-perfume-1of1-720x720.png.webp,Sage Goddess,"[""citrus"", ""lavender""]",[],[],https://www.sagegoddess.com/product/crystal-perfumes-vesica-piscis-perfume/
Song of Ishtar Perfume,"Honor the potent and transformative essence of the great Mesopotamian goddess of love, war, and unyielding strength with our Song of Ishtar Perfume. This blend is an invocation of her power and beauty, weaving together sacred notes to embody her multifaceted divinity.",https://www.sagegoddess.com/wp-content/uploads/2021/11/Song_of_Ishtar_perfume_1of1_11_19-720x720.jpg.webp,Sage Goddess,"[""rose""]",[],[],https://www.sagegoddess.com/product/crystal-perfumes-song-of-ishtar-perfume/
Violet Perfume,"Made with violet from all over the world and infused with a touch of wood musk, Violet Perfume is decadent, enchanting, and filled with ancient wisdom. It evokes Venusian energies of sensitivity and love and is a powerful blend for channeling abundance and tranquility.",https://www.sagegoddess.com/wp-content/uploads/2015/09/Violet-Perfume-4_26.jpg.webp,Sage Goddess,"[""musk""]",[],[],https://www.sagegoddess.com/product/violet-perfume/
August 2023 Living Essence Mist,"This mist is handcrafted right here at SG. It’s the ULTIMATE blend for supporting a life, space, and practice filled with embodiment and grounding. The carrier of this blend is a luxurious gemstone-infused hydrosol blend of of mitti attar, vetiver, and tuberose.",https://www.sagegoddess.com/wp-content/uploads/2023/08/august_2023_living_essence_mist_1of1-720x720.jpg.webp,Sage Goddess,"[""tuberose"", ""texas cedarwood""]",[],[],https://www.sagegoddess.com/product/crystal-perfumes-august-2023-living-essence-mist/
Calavera Perfume,"This perfume was custom-made right here at Sage Goddess Headquarters, with oils specifically chosen to honor Día de los Muertos, including: Cuban tobacco, white cedar, tea leaf, frankincense, and brown sugar.",https://www.sagegoddess.com/wp-content/uploads/2021/09/Calavera_perfume_1of1_9_26-720x720.jpg.webp,Sage Goddess,"[""cedar""]",[],[],https://www.sagegoddess.com/product/crystal-perfumes-calavera-perfume/
Seance Perfume,"Close your eyes for a moment. What do you sense? When your whole world is shrouded in darkness, what sorts of feelings and visions come to life? Our handcrafted Seance Perfume is a portal to the unknown — a reminder of the magic and mystery that exists beyond our world of time and space.",https://www.sagegoddess.com/wp-content/uploads/2021/09/Seance_perfume_1of1_9_25-720x720.jpg.webp,Sage Goddess,"[""patchouli""]",[],[],https://www.sagegoddess.com/product/crystal-perfumes-seance-perfume/
