name,description,image,perfumeHouse,openNotes,heartNotes,baseNotes,notes,product_url
Peach Aurum 100Ml,"A gourmand scent inspired by the Peach Cobbler dessert, Peach Aurum is luscious, opulent and bewitching.",https://navitusparfums.com/wp-content/uploads/2024/11/PEACH-AURUM-1-1-510x510.jpg,Navitus,"[""baked peach accord"", ""turkish rose absolute"", ""amaretto""]","[""sri lankan cinnamon"", ""condensed milk"", ""puff pastry""]","[""oak leaf"", ""sugared musk""]",[],https://navitusparfums.com/product/peach-aurum/
Xenial,"Xenial Extrait De Parfum, a fragrance that symbolizes the spirit of togetherness, is creatively directed by Mr. Max Forti and Mr. Steven Gavrielatos and crafted by master perfumer Christian Carbonnel.",https://navitusparfums.com/wp-content/uploads/2023/11/Xenial-Image-1-510x510.png,Navitus,"[""brazilian orange"", ""italian bergamot"", ""spanish lemon"", ""single malt whiskey""]","[""bulgarian lavender"", ""egyptian geranium"", ""turkish laurel"", ""german chamomile"", ""french clary sage"", ""ambergris""]","[""maduro cuban tobacco"", ""premium suede leather"", ""virginian cedarwood"", ""madagascan vanilla"", ""honey"", ""french hay"", ""haitian"", ""vetiver"", ""french oakmoss"", ""21000""]",[],https://navitusparfums.com/product/xenial/
Paradis Exotique,A hypnotic blend for those who want to attract positive energy and compliments around them. Paradis Exotique Extrait de Parfum is crafted by master perfumer Olaf Larsen.,https://navitusparfums.com/wp-content/uploads/2022/12/Paradis-Exotique-1-510x509.jpeg,Navitus,"[""calabrian bergamot"", ""sicilian mandarin"", ""grapefruit"", ""indian ginger""]","[""turkish rose"", ""jasmine sambac"", ""orchid"", ""tahitian ylang""]","[""madagascan vanilla"", ""tonka"", ""sandalwood"", ""virginian"", ""cedarwood"", ""21000""]",[],https://navitusparfums.com/product/paradis-exotique-125ml/
Absolutio,Veritas nunquam perit. A state of absolution is a state of truthfulness of self. A release from consequence liberates the spirit and allows it to roam without limiting fear.,https://navitusparfums.com/wp-content/uploads/2019/10/Absolutio-100ml-Image-1-1-1-510x510.png,Navitus,"[""almond"", ""saffron"", ""cinnamon""]","[""apple"", ""cherry""]","[""ambergris"", ""oakmoss"", ""caramel chocolate"", ""driftwood"", ""musk""]",[],https://navitusparfums.com/product/absolutio/
Sartorial Nuit,"Sartorial Nuit Extrait De Parfum is a sexy, seductive and addictive fragrance which is enveloping and alluring.",https://navitusparfums.com/wp-content/uploads/2022/07/Sartorial-Nuit-Image-1-510x510.png,Navitus,"[""italian bergamot"", ""french lavender"", ""french clary sage""]","[""orange blossom""]","[""virginian cedarwood"", ""sandalwood"", ""vanilla"", ""musk""]",[],https://navitusparfums.com/product/sartorial-nuit/
Oud Luxuria,"Luceat lux vestra. Extravagant displays of wealth and opulence mark the aroma of this exquisite perfume. There is no denying the grandeur and expensiveness of rose, and Oud Luxuria spotlights two varieties of the natural ingredient.",https://navitusparfums.com/wp-content/uploads/2019/10/Oud-Luxuria-OC-Image-1-1-scaled-1-510x395.jpg,Navitus,"[""turkish rose"", ""orange"", ""pink berry"", ""leather"", ""cinnamon"", ""saffron""]","[""rose"", ""jasmine"", ""osmanthus"", ""geranium""]","[""natural oud"", ""incense"", ""labdanum"", ""amber"", ""musk""]",[],https://navitusparfums.com/product/oud-luxuria/
Empyreal,"Empyreal Extrait De Parfum is a dazzling display of the most exquisite gourmand ingredients with a mouth-watering cocoa scones accord and Venezuelan tonka bean, making the delicious composition enchant you for the entire day.",https://navitusparfums.com/wp-content/uploads/2021/10/Empyreal-Image-1-510x510.png,Navitus,"[""brazilian orange"", ""plum accord""]","[""cocoa scone accord"", ""venezuelan tonka"", ""suede accord""]","[""java vetiver"", ""birch tar"", ""guaiacwood""]",[],https://navitusparfums.com/product/empyreal/
Serenade,"Serenade Parfum is an alluring, inviting and seductive fragrance. Causing the wearer to turn heads from all those enjoying the fragrance around the them.",https://navitusparfums.com/wp-content/uploads/2021/08/Serenade-Image-1-510x510.png,Navitus,"[""orange blossom"", ""cognac"", ""dark chocolate""]","[""honey accord"", ""egyptian beeswax absolute"", ""new caledonian sandalwood""]","[""java vetiver"", ""venezuelan tonka bean"", ""musk"", ""indonesian patchouli"", ""virginian cedarwood"", ""21000""]",[],https://navitusparfums.com/product/serenade-100ml/
Kind Intentions,Kind Intentions is a fruity and elegant potion in extrait de parfum concentration.,https://navitusparfums.com/wp-content/uploads/2023/05/Kind-Intentions-01-1-510x510.png,Navitus,"[""italian mandarin"", ""iris"", ""egyptian seaweed""]","[""white flower blend"", ""african olibanum""]","[""sandalwood"", ""benzoin"", ""madagascan vanilla absolute"", ""moss"", ""indonesian musk"", ""21000""]",[],https://navitusparfums.com/product/kind-intentions-100ml/
The Key,"The Key Extrait De Parfum is a fresh, signature scent worthy fragrance making the wearer feel confident and attracting attention from all those around the wearer.",https://navitusparfums.com/wp-content/uploads/2021/11/The-Key-Image-1-510x510.png,Navitus,"[""italian bergamot"", ""sicilian lemon"", ""mexican grapefruit""]","[""gin fizz accord"", ""african ginger""]","[""brazilian tonka bean absolute"", ""sandalwood"", ""haitian vetiver"", ""indonesian patchouli""]",[],https://navitusparfums.com/product/the-key/
