name,description,image,perfumeHouse,openNotes,heartNotes,baseNotes,detailURL
Hidden Shades,Tangible inspiration,https://thoo.it/wp-content/uploads/HIDDEN-SHADES_1181x1181_img-1-600x600.jpg,House of Oud,"[""lemon bergamot mirabelle plum""]","[""cherry blossom jasmine cistus""]","[""tonka bean vanilla sandalwood patchouli benzoin transparent musc""]",https://thoo.it/product/hidden-shades/
Sacred Groove,Art makes tangible the matter of which dreams are made.,https://thoo.it/wp-content/uploads/niche-perfume-oud-thoo-sacred-groove-2-600x600.jpg,House of Oud,"[""bitter orange angelica root""]","[""turkish rose jasmine lavender labdnanum iris""]","[""warm spices tonka bean vanilla precious woods patchouli myrrh amber musc""]",https://thoo.it/product/sacred-groove/
Neverending,An uncontainable flow of emotions. To infinity.,https://thoo.it/wp-content/uploads/Neverending-THoO-niche-perfume-Novelty2021-bottle-600x600.jpg,House of Oud,"[""pink grapefruit nutmeg warm spices black pepper cumin""]","[""light tuberose jasmine suede accord""]","[""black vanilla cypriol guaiac wood precious amber modern musks virgina cedarwood""]",https://thoo.it/product/neverending/
Get The Feeling,My journey of life.,https://thoo.it/wp-content/uploads/get-the-feeling-the-house-of-oud-new-fragrance-the-house-of-oud-new-perfumepack-600x600.jpg,House of Oud,"[""fresh ginger sicilian lemon pink pepper calabrian bergamot aquatic accents""]","[""cardamom davana roman chamomile coriander angelica root""]","[""patchouli juniper berry absolute ambrette precious woods""]",https://thoo.it/product/get-the-feeling/
Up To The Moon,Moon give me wings so that I can fly.,https://thoo.it/wp-content/uploads/up-to-the-moon-the-house-of-oud-new-fragrance-pack-600x600.jpg,House of Oud,"[""fiorentine iris blackcurrant pink grapefruit neroli pear breeze (captive)""]","[""damask rose jasminum sambac magnolia""]","[""absolute raspberry absolute ambrette amber mysore sandal india madagascar vanilla (co2) fruity musks""]",https://thoo.it/product/up-to-the-moon/
What About Pop,A pop sweetness.,https://thoo.it/wp-content/uploads/niche-perfume-thoo-fragrance-WHATABOUTPOP-01-600x600.jpg,House of Oud,"[""salty popcorn hawthorn caramel""]","[""lunar flower milk cream exavanilla""]","[""amber ebony vetyver benzoin""]",https://thoo.it/product/what-about-pop/
Keep Glazed,"The senses merge, in a delicious and unforgettable journey.",https://thoo.it/wp-content/uploads/niche_perfume_thoo_fragrance_KEEP-GLAZED-600x600.jpg,House of Oud,"[""frozen lemon mango strawberry leaf""]","[""chantilly cream coconut rap\u00e9 ginger crumble""]","[""fruity musk precious woods""]",https://thoo.it/product/keep-glazed/
Each Other,Our tag is thoo A new language for a new cross-fertilization: the Urban Mood.,https://thoo.it/wp-content/uploads/niche_perfume_thoo_fragrance_EACH-OTHER-600x600.jpg,House of Oud,"[""grapefruit"", ""citrus notes"", ""pink pepper""]","[""coriander"", ""calamus"", ""wormwood""]","[""vetiver"", ""labdanum"", ""grey amber""]",https://thoo.it/product/each-other/
Live in Colours,The moment within the moment: from now on. The moment when the present takes the plunge into the future.,https://thoo.it/wp-content/uploads/niche_perfume_thoo_fragrance_LIVE-N-COULORS-600x600.jpg,House of Oud,"[""lemon grapefruit red fruit""]","[""ginger pink pepper""]","[""accord of musks hinoki amber""]",https://thoo.it/product/live-in-colours/
The Time,The moment within the moment: right now. It is time for ourselves.,https://thoo.it/wp-content/uploads/niche_perfume_thoo_fragrance_THE-TIME-600x600.jpg,House of Oud,"[""bergamot wormwood blue camomile""]","[""blue tea iris verbena""]","[""cedarwood musks amber black tea""]",https://thoo.it/product/the-time/
Just Before,The moment within the moment: before. Before it happens.,https://thoo.it/wp-content/uploads/niche_perfume_thoo_fragrance_JUST-BEFORE-600x600.jpg,House of Oud,"[""bergamot lemon saffron""]","[""palo santo ylang-ylang myrrh""]","[""vanilla benzoin amber sandalwood""]",https://thoo.it/product/just-before/
Crop 2023,Irreverent notes meet the most exclusive blend. 507 numbered pieces.,https://thoo.it/wp-content/uploads/CROP2023_1081x1081_2-600x600.jpg,House of Oud,[],[],[],https://thoo.it/product/crop-2023/
Crop 2022,Returning to tradition. 349 numbered pieces.,https://thoo.it/wp-content/uploads/niche-oud-perfume-the-house-of-oud-crop-2022-1-600x600.jpg,House of Oud,[],[],[],https://thoo.it/product/crop-2022/
Crop 2021,A gold touch. 865 numbered pieces .,https://thoo.it/wp-content/uploads/CROP2021_IMG-PRODOTTO-ecommerce_1181x1181x_1-600x600.jpg,House of Oud,[],[],[],https://thoo.it/product/crop-2021/
Crop 2019,Exotic scents. 250 numbered pieces.,https://thoo.it/wp-content/uploads/niche-perfume-thoo-fragrance-CROP_2019-01-600x600.jpg,House of Oud,[],[],[],https://thoo.it/product/crop-2019/
Crop 2018,Unique blend. 347 numbered pieces.,https://thoo.it/wp-content/uploads/niche_perfume_thehouseofoud_fragrance_CROP-2018-600x600.jpg,House of Oud,[],[],[],https://thoo.it/product/crop-2018/
Crop 2017,Narcotic licorice. 547 numbered pieces.,https://thoo.it/wp-content/uploads/niche_perfume_thehouseofoud_fragrance_CROP-2017-600x600.jpg,House of Oud,[],[],[],https://thoo.it/product/crop-2017/
Crop 2016,Unpredictable mint. 250 numbered pieces.,https://thoo.it/wp-content/uploads/niche_perfume_thehouseofoud_fragrance_CROP-2016-600x600.jpg,House of Oud,[],[],[],https://thoo.it/product/crop-2016/
White Pearl,The perfection shines.,https://thoo.it/wp-content/uploads/White-Pearl-600x600.jpg,House of Oud,"[""ylang ylang pink pepper cardamom""]","[""rose iris tonka bean""]","[""marine notes ambergris""]",https://thoo.it/product/white-pearl-2/
Ruby Red,The Tribute to the Queen.,https://thoo.it/wp-content/uploads/ruby-red-the-house-of-oud-niche-perfume-1-600x600.jpg,House of Oud,"[""fresh ginger tangerine""]","[""ginger blossom ylang-ylang tuberose""]","[""candied ginger vanilla woody notes musk""]",https://thoo.it/product/ruby-red/
Sapphire Blue,A modern fairytale.,https://thoo.it/wp-content/uploads/thoo-niche-perfume-sapphire-blue-600x600.jpg,House of Oud,"[""bay saint thomas tangerine almond spices""]","[""orchid jasmine tonka bean""]","[""jasmine vanilla musk""]",https://thoo.it/product/sapphire-blue/
Emerald Green,The celebration of a precious and eternal love.,https://thoo.it/wp-content/uploads/emerald-green-the-house-of-oud-niche-perfume-1-600x600.jpg,House of Oud,"[""bloody orange tangerine pink pepper bergamot""]","[""jasmine cardamom fresh ginger""]","[""white musk patchouli amber gris""]",https://thoo.it/product/emerald-green/
Breath of the Infinite,The perfume of the waking day.,https://thoo.it/wp-content/uploads/niche_perfume_thehouseofoud_fragrance_BREATHE-OF-THE-INFINITE-600x600.jpg,House of Oud,"[""peony freesia""]","[""peach""]","[""musk ambroxan cashmeran irian oud""]",https://thoo.it/product/breath-of-the-infinite/
Wind Heat,Wind Heat a vibrant handshake.,https://thoo.it/wp-content/uploads/niche_perfume_thehouseofoud_fragrance_WINDHEAT--600x600.jpg,House of Oud,"[""pink pepper nutmeg bergamot""]","[""virginia cedar wood iris""]","[""suede musk vetiver burma oud""]",https://thoo.it/product/wind-heat/
Golden Powder,A fever of optimist.,https://thoo.it/wp-content/uploads/niche_perfume_thehouseofoud_fragrance_GOLDEN-POWDER-600x600.jpg,House of Oud,"[""nutmeg cinnamon""]","[""sandalwood guaiac wood virginia cedar wood""]","[""musk french labdanum vanilla coumarin tobacco blossom burma oud""]",https://thoo.it/product/golden-powder/
Blessing Silence,It is the night that casts a veil of peace on us.,https://thoo.it/wp-content/uploads/niche_perfume_thehouseofoud_fragrance_BLESSING-SILENCE-600x600.jpg,House of Oud,"[""labdanum""]","[""patchouli""]","[""sandalwood rose indi oud""]",https://thoo.it/product/blessing-silence/
Wonderly,Nothing is impossible. The unexpected can happen.,https://thoo.it/wp-content/uploads/WONDERLY-1-the-house-of-oud-1181x1181px-600x600.jpg,House of Oud,"[""goji berry apricot""]","[""african neroli almond flower sambac jasmine""]","[""virginia cedarwood concrete italian iris mysore sandalwood myrrh from sinai cosmone madagascar vanilla yemeni incense""]",https://thoo.it/product/wonderly/
